winner_name,loser_name,ranking_difference,height_difference,age_difference,player1_hand,player2_hand,player1_h2h_win_pct,match_type,player1_recent_win_pct,player2_recent_win_pct,target
Lukas Dlouhy,Teymuraz Gabashvili,-14.0,-3.0,2.099999999999998,1,1,0.5,1,0.0,0.0,8.0
Thomas Johansson,Marco Chiudinelli,-74.0,-5.0,6.5,1,1,0.5,1,0.0,0.5,0.0
David Ferrer,Kristian Pless,-67.0,-13.0,-1.1999999999999993,1,1,0.5,1,1.0,0.5,7.0
Mario Ancic,Go Soeda,-178.0,18.0,0.3999999999999986,1,1,0.5,1,0.5,0.0,9.0
Guillermo Garcia Lopez,Joachim Johansson,-91.0,-10.0,-0.8999999999999986,1,1,0.5,1,0.5,0.6,0.0
Vincent Spadea,Igor Andreev,-65.0,-2.0,8.899999999999999,1,1,0.5,1,0.5,0.5,10.0
Dominik Hrbaty,Jiri Vanek,-81.0,-2.0,0.3000000000000007,1,1,0.5,1,0.25,0.5,8.0
Marat Safin,Benjamin Becker,-30.0,15.0,1.3999999999999986,1,1,0.5,1,0.5,0.25,1.0
Dudi Sela,Paradorn Srichaphan,146.0,-10.0,-5.800000000000001,1,1,0.5,1,0.5,0.3333333333333333,10.0
Marc Gicquel,Alun Jones,-128.0,8.0,3.0,1,1,0.5,1,0.5,0.6666666666666666,9.0
Andy Roddick,Jo-Wilfried Tsonga,-205.0,0.0,2.6000000000000014,1,1,0.5,1,0.5,0.5,7.0
David Nalbandian,Janko Tipsarevic,-56.0,0.0,2.5,1,1,0.5,1,0.0,0.0,5.0
Nicolas Lapentti,Alan Mackin,-201.0,5.0,5.0,1,1,0.5,1,0.0,0.5,8.0
Olivier Rochus,Chris Guccione,-67.0,-33.0,4.5,1,0,0.5,1,0.6,0.6,2.0
Sebastien Grosjean,Christophe Rochus,-45.0,5.0,0.6000000000000014,1,1,0.5,1,0.0,0.5,7.0
Florian Mayer,Robin Soderling,35.0,-3.0,0.8000000000000007,1,1,0.5,1,0.3333333333333333,0.75,4.0
Andreas Seppi,Bobby Reynolds,-94.0,7.0,-1.5999999999999979,1,1,0.5,1,0.0,0.5,7.0
Ilija Bozoljac,Marin Cilic,-45.0,-5.0,3.1999999999999993,1,1,0.5,1,0.5,0.5,11.0
Tommy Haas,Albert Montanes,-71.0,13.0,2.599999999999998,1,1,0.5,1,0.5,0.5,8.0
